Position,Cause,Claim
POWER TRAIN/DRIVE AXLE,IMPROPER MANUFACTURING,"3/8/2024.(MAKING GRINDING NOISE AND SHAKING WHOLE UNIT)CHECK IN AND WAS SHOWN UNIT. CHECK OUT. FOUND THE DIFFERENTIAL FAILED. SET UP PICK UP AND LOANER LIFT TRUCK.3/11 THOUGH 4/5/2024.TOW TRUCK TO WORK BAY.LIFT UP AND BLOCK UP.REMOVED WHEELS.DRAINED AXLE,"
ELECTRIC/ELECTRIC DEVICE FOR OTHERS,DISCONNECTED OR OPEN,10/27 PICKED UP SOLENOID PART AT SHOP AND DRIVING TO CUSTOMER. 10/27 REPLACED FORWARD SOLENOID AND TEST DROVE FOUND UNIT STILL TAKING OFF ON NEUTRAL. UNIT STILL HAVE ISSUES WITH GOING FORWARD WHEN IN NEUTRAL PERFORMED TEST FOUND THAT THE FORWARD RELAY IS
POWER TRAIN/TRANSMISSION,IMPROPER ASSEMBLY,CUSTOMER COMPLAINT OF NO FORWARD: TRAVEL TO CUSTOMERS TALKED WITH CUSTOMER. DOSE NOT LIKE THE INCHING IF PEDAL MOVES ABOUT AN INCH TRANSMISSION RELEASE. ALSO HAS REVERSE PROBLEM. DID OPERATION CHECK NOTICED TRUCK WOULD MOVE FORWARD WHILE IN NEUTRAL STAYED
POWER TRAIN/DRIVE AXLE,POOR MATERIAL,"TRAVEL TO LOCATION, INSPECT UNIT FOR NOISE COMING FROM DIFFERENTIAL. PICKED UP UNIT AND BROUGHT TO SHOP SO WE COULD DISASSEMBLE THE DIFFERENTIAL AND FIND CAUSE. DRAINED DIFFERENTIAL AND TRANSMISSION. REMOVED HOSES FROM DIFFERENTIAL, DISCONNECTED ELECTRICA"
POWER TRAIN/TRANSMISSION,POOR MATERIAL,SHIFT ISSUES. TRAVELED TO CUSTOMER LOCATION AND CHECKED IN WITH MANAGER. OPERATOR STATES UNIT IS HAVING TROUBLE SHIFTING INTO GEARS. MOVED UNIT OUTSIDE AND INSPECTED. REMOVED TRANS FILTER AND INSPECTED PRESSURIZE SPOOL. FOUND SPOOL IS SCRATCHED. POLISHED
POWER TRAIN/TRANSMISSION,POOR MATERIAL,UNIT STUCK IN FORWARD. TESTED INPUTS INTO DIRECTIONAL VALVES ON TRANSMISSION. GOOD. REMOVED DIRECTIONAL VALVES AND FOUND FORWARD VALVE IS STUCK. CONNECTED VALVES WITH KEY ON AND FOUND ONLY REVERSE VALVE IS WORKING. SWAPPED VALVES AND PROBLEM FOLLOWED VALV
POWER TRAIN/TRANSMISSION,POOR MATERIAL,"1.  COMPLAINT--THROTTLE PEDAL NOT WORKING 2.  PROBLEM--BRAKE SOLENOID  3.  REPAIR--WHEN IN NEUTRAL AND FORWARD, WILL GO FORWARD.  IN REVERSE IT BINDS UP AND WON'T GO.  SWITCHED OUT OSS BOX AND FUSE ZNC RELAY WITH ANOTHER TRUCK.  STILL DOES THE SAME THING."
HYDRAULIC/VALVE,IMPROPER ASSEMBLY,"1.  COMPLAINT--LEAK AT TRANSMISSION 2. PROBLEM--SPOOL STUCK 3. REPAIR--PULLED THE VALVE BODY OFF AND FOUND ON OF THE SPOOLS WAS STUCK.  CLEANED IT UP WITH SANDPAPER AND PUT IT BACK IN, PUT NEW GASKET AND TORQUE THE VALVE BODY BACK DOWN, PUT ON NEW FILTER."
POWER TRAIN/DRIVE AXLE,POOR DESIGN,FORKLIFT CAME IN DRIVE AXLE WAS MAKING A LOT OF GRINDING NOISE.AND ALSO WOULD NOT MOVE MACHINE WAS LOCKED UP. TECH IN SHOP TORN IT DOWN AND FOUND DAMAGED PARTS IN DIFFERENTAL. HAD TO REPLACE MIDDLE DRIVE AXLE HOUSING.5/24/ PLEASE TALK TO BARBARA ABOUT JUS
POWER TRAIN/DRIVE AXLE,POOR MATERIAL,"MACHINE MAKING CLICKING NOISE IN REVERSE, CHECKED DIFF AND TRANS SCREEN AND DRAIN PLUGS FOR METAL, ALL OK. REMOVED FRONT DIFF COVER AND SENT VIDEO TO ERIK, FOUND LEFT SIDE OF CARRIER BAD. ORDERED NEW CENTER OF DIFF. PICKED UP TRUCK FOR REPAIRS. REMOVED AT"
"POWER TRAIN/MOUNTING;D,AXLE & T,M",POOR MATERIAL,"CHECK UNIT FOR MAKING NOISE WHEN IN REVERSE ONLY. TESTED UNIT AND FOUND DRIVE SHAFT MAKES NOISE AS IT TURNS. UNIT NEEDS NEW DRIVE SHAFT ASSY, FOUND BEARING SPINNING IN DRIVE SHAFT BOAR. ORDERED PARTS. RETURNED TO JOB SITE AND R&R DRIVE SHAFT. GREASED UNIT"
"POWER TRAIN/MOUNTING;D,AXLE & T,M",POOR DESIGN,CUSTOMER CONCERN: CUSTOMER STATES UNIT IS DOWN CAUSE: ARRIVED TO CUSTOMER LOCATION CHECKED THE FLUIDS FIRST THEN SEEN THEY ARE IN THE APPROPRIATE RANGES DROVES THE UNIT TESTING ALL THE UNITS FUNCTIONS AND ALL SAFETY EQUIPMENT OF THE OPERATION I DROVE THE
POWER TRAIN/TRANSMISSION,IMPROPER MANUFACTURING,"CUSTOMER STATES WHEN THEY PUT IT IN DRIVE IT REVS UP THEN SLAMS INTO GEAR, BUT ONCE ENGAGED IT IS SLUGGISH MOVING FORWARD. 4/3/24 MC. TRAVEL TO CUSTOMER LOCATION. SPOKE WITH CUSTOMER AND LOCATED UNIT. INSPECTED AND VERIFIED CUSTOMER COMPLAINT. ALSO NOTICE"
POWER TRAIN/TRANSMISSION,POOR MATERIAL,"ACCUMULATOR SPOOL STICKING, POLISHED SPOOL SO IT WAS FREE IN VALVE BODY, THIS CORRECTED THE ISSUE WITH THE PRESSURE."
POWER TRAIN/DRIVE AXLE,POOR MATERIAL,"CHECK UNIT FOR BRAKES FEEL LIKE THEY ARE STICKING. REMOVED SOLENOID VALVE AND CLEANED, REINSTALLED THE VALVE, ISSUE STILL THERE. TRUCK HOLDS UNTIL RPMS ARE INCREASED THEN IT WILL LET LOOSE AND DRIVE. BROUGHT TRUCK TO THE SHOP FOR REPAIRS. SPOKE TO DWAYNE"
POWER TRAIN/TRANSMISSION,POOR MATERIAL,"ACCUMULATOR SPOOL STICKING, POLISHED SPOOL SO IT WAS FREE IN VALVE BODY, THIS CORRECTED THE ISSUE WITH THE PRESSURE."
POWER TRAIN/DRIVE AXLE,POOR MATERIAL,"CHECK UNIT FOR BRAKES FEEL LIKE THEY ARE STICKING. REMOVED SOLENOID VALVE AND CLEANED, REINSTALLED THE VALVE, ISSUE STILL THERE. TRUCK HOLDS UNTIL RPMS ARE INCREASED THEN IT WILL LET LOOSE AND DRIVE. BROUGHT TRUCK TO THE SHOP FOR REPAIRS. SPOKE TO DWAYNE"
LINES/BRAKE LINE,IMPROPER ASSEMBLY,"CHCK UNIT FOR A BRAKE FLUID LEAK, GOT TO JOB SITE AND FOUND BRAKE HOSE HAS A HOLE RUBBED IN IT AND LEAKING. ORDERED PARTS. RETURNED TO JOB SITE AND R&R LEAKING BRAKE HOSE. BLEED BRAKE SYSTEM AND TEST UNIT, ALL OK."
POWER TRAIN/TRANSMISSION,DISCONNECTED OR OPEN,"NO REVERSEWORK PERFORMED: TRAVELED TO CUSTOMER, INSPECTED. GOES INTO REVERSE INTERMITTENT. SWAPPED SOLENOID PLUGS AND STILL HAS ISSUES. WILL ORDER A REVERSE SOLENOID RETURNED TO CUSTOMER, REPLACED TRANSMISSION COILS, REASSEMBLED. TESTED OK"
